,SMILES,B1,B5,bond_length,L,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,C1(/C=C2CC\2)=CC=CC=C1,1.763675162,4.234299963,1.469481819,5.657864313,2.277777778,2.277777778,1.314379252,1.314379252,0.54799803,130.19,120.11,130.0782503,50,0,-0.025711602,-0.068986029,0.068986029,0.025711602,1,1.7,2.3,14.14428431,10.18788348,2.088907836,-1.871641483,2.292039221,-1.656446772,5.554179892,1.503,2.742365369,2.261022735,238.0006373,6.811554788,5.878315178,5.878315178,4.949489743,3.695140653,3.695140653,2.71326946,2.71326946,1.709038438,1.709038438,1.001472575,1.001472575,-1.04,570.4119967,5.722890921,2.295733882,1.268618156,61.19573739,0,0,0,0,0,0,0,0,0,0,41.98095998,18.40509474,0,0,0,6.076020107,0,0,0,12.84164325,0,41.46839136,0,0,0,0,0,0,0,0,0,18.40509474,35.90493987,0,6.076020107,0,0,0,0,0,0,0,0,18.40509474,5.57310453,0,36.40785545,0,0,0,0,0,2.931666667,0,10.49513039,4.906536281,0,0,0.2,10,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,2,2.8638,43.653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BrC(C=C1)=CC=C1/C=C2CC\2,1.718979883,4.156466811,1.889951198,10.41232045,3.40658801,3.40658801,1.14856198,1.14856198,0.661987259,209.086,200.014,207.9887624,56,0,0.017517862,-0.068986019,0.068986019,0.017517862,1.090909091,1.727272727,2.272727273,79.91873098,10.18702351,2.091242588,-1.911816883,2.296387088,-1.68702629,9.102991319,1.503,2.777961676,2.252286382,276.2460163,7.681798276,6.178929381,7.76492592,5.343336593,3.794806492,4.587804761,2.854137081,3.76981261,1.77947104,2.308136553,1.011213981,1.275546737,-0.56,822.276656,7.108736858,2.820735053,1.933366722,75.063285,0,0,0,0,0,0,0,0,0,0,39.71180267,30.53782887,4.472719516,0,0,22.005964,0,0,0,12.84164325,0,39.87474381,0,0,0,0,0,15.9299439,0,0,0,18.40509474,34.31129232,0,6.076020107,0,0,0,0,0,0,0,4.472719516,18.40509474,5.57310453,0,46.27143228,0,1.14856198,3.40658801,0,0,2.896317082,0,8.424953704,4.873579223,0,0,0.2,11,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,2,3.6263,51.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ClC(C=C1)=CC=C1/C=C2CC\2,1.719334664,4.156514408,1.720186167,10.24298473,5.74315051,5.74315051,0.808284203,0.808284203,0.596025873,164.635,155.563,164.039278,56,0,0.040591061,-0.084343745,0.084343745,0.040591061,1.090909091,1.727272727,2.272727273,35.49569086,10.18546229,2.091406834,-1.909133485,2.296113696,-1.684676228,6.30112396,1.503,2.777961676,2.252286382,276.2460163,7.681798276,6.178929381,6.934858327,5.343336593,3.794806492,4.172770965,2.854137081,3.290572862,1.77947104,2.031447355,1.011213981,1.137202138,-0.75,822.276656,6.929506173,2.707135179,1.841242604,71.49900362,0,0,0,0,0,0,0,0,0,0,35.38279866,30.53782887,5.022633314,0,0,17.67696,0,0,0,12.84164325,0,40.42465761,0,0,0,0,0,11.60093989,0,0,0,18.40509474,29.8385728,5.022633314,6.076020107,0,0,0,0,0,0,0,5.022633314,18.40509474,5.57310453,24.26546827,6.076020107,11.60093989,0,5.74315051,0,0.808284203,2.81409486,0,7.952345679,4.793235859,0,0,0.2,11,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,2,3.5172,48.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FC(C=C1)=CC=C1/C=C2CC\2,1.721302258,4.155746606,1.339328639,9.853375807,12.41904337,12.41904337,0.16393802,-0.16393802,0.573912231,148.18,139.108,148.0688285,56,0,0.122750021,-0.20701177,0.20701177,0.122750021,1.090909091,1.727272727,2.272727273,19.14213883,10.18050911,2.092083298,-1.90032816,2.29353679,-1.727600293,5.555364199,0.627511808,2.777961676,2.252286382,276.2460163,7.681798276,6.178929381,6.178929381,5.343336593,3.794806492,3.794806492,2.854137081,2.854137081,1.77947104,1.77947104,1.011213981,1.011213981,-1.11,822.276656,6.590889857,2.496125241,1.671446231,65.36127279,0,5.817220841,0,0,0,0,0,4.390415048,0,0,23.78185877,30.53782887,0,0,4.390415048,6.076020107,0,0,0,12.84164325,0,41.21924514,0,0,0,4.390415048,0,0,0,0,5.817220841,18.40509474,29.8385728,0,6.076020107,0,0,0,4.390415048,0,5.817220841,0,5.563451492,30.54748191,12.13273414,0,6.076020107,0,12.41904337,0,0,0,2.579174225,-0.16393802,6.602037037,4.56368339,0,0,0.2,11,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,2,3.0029,43.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,O=[N+](C(C=C1)=CC=C1/C=C2CC\2)[O-],1.601884348,8.407235415,1.239467395,8.393433961,10.33691736,10.33691736,0.150876795,-0.380905612,0.511979593,175.187,166.115,175.0633285,66,0,0.268964854,-0.258309634,0.268964854,0.258309634,1.230769231,1.846153846,2.307692308,16.62820665,10.16685561,2.102558629,-1.918564717,2.297680909,-1.859265671,5.571813979,-0.384440626,2.891745981,2.223173381,359.0160651,9.259148545,7.064675085,7.064675085,6.254020195,4.194579425,4.194579425,3.151227866,3.151227866,2.013372592,2.013372592,1.144471625,1.144471625,-1.64,2058.923139,7.981065971,3.011702096,1.931797521,75.84871311,0,0,0,0,5.687386275,0,10.11431827,0,0,0,11.64912464,30.53782887,12.13273414,4.923311049,4.923311049,11.76340638,0,0,0,12.84164325,0,45.51634256,0,0,0,5.687386275,0,0,4.923311049,0,10.11431827,18.40509474,29.8385728,0,6.076020107,0,43.14,0,10.11431827,0,10.61069732,0,5.563451492,30.54748191,12.13273414,0,6.076020107,0,0,0,9.956011747,10.33691736,2.629537037,0,6.63537037,4.442163486,0,0,0.2,13,0,3,1,0,1,1,0,1,2,0,3,2,1,0,1,2,2.772,50.3074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COC(C=C1)=CC=C1/C=C2CC\2,1.6330248,8.000027689,1.42184735,8.764010264,5.069081633,5.069081633,0.924024943,0.924024943,0.646004617,160.216,148.12,160.088815,62,0,0.118400592,-0.496767824,0.496767824,0.118400592,1.166666667,1.833333333,2.333333333,16.46525082,10.174742,2.092673407,-1.978320346,2.2975931,-1.805686802,5.565291043,0.414535623,2.899393437,2.181524388,289.2850807,8.388905057,7.209213199,7.209213199,5.881341395,4.218196691,4.218196691,3.075745597,3.075745597,2.025267906,2.025267906,1.152344047,1.152344047,-1.24,1461.294292,7.411348975,3.015404674,1.672405649,72.67422474,4.736862954,5.749511833,0,0,0,0,0,0,0,0,23.78185877,30.53782887,0,7.109797541,4.736862954,6.076020107,0,0,0,12.84164325,7.109797541,35.4020243,0,5.749511833,4.736862954,0,5.749511833,0,7.109797541,0,0,18.40509474,29.8385728,0,6.076020107,0,9.23,0,0,0,0,0,5.749511833,18.40509474,12.68290207,12.13273414,18.20875424,4.736862954,5.069081633,0,0,0,2.836543367,0.924024943,8.164537037,4.816962711,0,1.688850309,0.272727273,12,0,1,1,0,1,1,0,1,1,0,1,2,1,0,1,2,2.8724,50.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,CN(C(C=C1)=CC=C1/C=C2CC\2)C,1.681659292,9.274736122,1.461893448,6.859319436,2.291111111,2.291111111,1.261987906,1.261987906,0.664313904,173.259,158.139,173.1204495,68,0,0.036091569,-0.37766091,0.37766091,0.036091569,1.076923077,1.692307692,2.153846154,15.05569181,10.15848097,2.093734463,-2.111846004,2.297839934,-2.073695352,5.59196395,1.131349163,2.891745981,2.176439825,313.4826427,9.259148545,8.248178504,8.248178504,6.254020195,4.723858244,4.723858244,3.788545272,3.788545272,2.31895186,2.31895186,1.320897898,1.320897898,-1.24,2058.923139,8.362391879,3.249570652,2.114689472,79.68545529,4.899909731,0,0,0,0,0,0,0,0,0,23.78185877,30.53782887,19.78273024,0,0,11.76340638,0,0,0,12.84164325,18.9952537,35.4020243,0,0,4.899909731,5.687386275,0,0,14.09534397,0,0,18.40509474,29.8385728,0,6.076020107,0,3.24,0,0,0,0,0,0,24.09248101,5.57310453,0,49.33674208,0,0,0,2.119094388,0,4.174675926,0,8.68537037,4.893158699,0,4.127700617,0.333333333,13,0,1,1,0,1,1,0,1,1,0,1,2,1,0,1,2,2.9298,57.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,CC(C)C(C=C1)=CC=C1/C=C2CC\2,2.029718487,9.594755749,1.530750528,6.158437148,2.30962963,2.30962963,0.641322279,0.641322279,0.63247231,172.271,156.143,172.1252005,68,0,-0.021881672,-0.068986027,0.068986027,0.021881672,1.076923077,1.692307692,2.153846154,14.15033522,10.0164625,2.094971467,-2.038200781,2.297617756,-1.852224184,5.561788739,0.866416873,2.891745981,2.176439825,308.3964764,9.259148545,8.378315178,8.378315178,6.254020195,5.049199928,5.049199928,4.123953063,4.123953063,2.512599639,2.512599639,1.429345126,1.429345126,-1.04,2058.923139,8.553468983,3.370672566,2.208541171,80.29056373,0,0,0,0,0,0,0,0,0,0,49.76206731,29.88645228,0,0,0,6.076020107,0,0,0,32.60702369,0,40.96547579,0,0,0,0,0,0,0,0,0,43.73392667,29.8385728,0,6.076020107,0,0,0,0,0,0,5.917906046,0,23.96854623,5.57310453,0,44.18896278,0,0,0,0,0,4.381614701,0.641322279,8.916851852,4.932510551,4.461033951,0,0.384615385,13,0,0,1,0,1,1,0,1,0,0,0,2,1,0,1,2,3.9872,57.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,C1(/C=C2CC\2)=CC=C(C3=CC=CC=C3)C=C1,2.402956113,4.234652454,1.469095569,5.657178183,2.30037037,2.30037037,1.285300926,1.285300926,0.676785606,206.288,192.176,206.1095504,78,0,-0.01836173,-0.068986024,0.068986024,0.01836173,0.6875,1.3125,1.9375,14.14928131,10.03883953,2.094358608,-2.010380099,2.300995085,-1.770336544,5.660894772,1.503,3.152321289,1.898550325,497.494391,10.79468245,9.187716254,9.187716254,7.915816238,5.766507858,5.766507858,4.290619729,4.290619729,2.927271951,2.927271951,1.854606267,1.854606267,-1.82,15332.89075,9.40914187,3.974540285,2.060781707,96.2528316,0,0,0,0,0,0,0,0,0,0,66.24642825,29.53199772,0,0,0,6.076020107,0,0,0,12.84164325,0,65.73385964,0,11.12690298,0,0,0,0,0,0,0,18.40509474,60.17040815,0,17.20292309,0,0,0,0,0,0,0,0,29.53199772,5.57310453,0,60.67332372,0,0,0,0,0,5.478068678,0,19.30402783,4.884570162,0,0,0.125,16,0,0,1,0,1,2,0,2,0,0,0,2,1,0,1,3,4.5308,69.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CC1=CC(/C=C2CC\2)=CC=C1,1.7,5.877871395,1.499945291,8.778155799,2.298611111,2.298611111,1.313434429,1.313434429,0.567557661,144.217,132.121,144.0939004,56,0,-0.025447785,-0.068985865,0.068985865,0.025447785,1.272727273,2.090909091,2.727272727,14.14720982,10.1268794,2.091836596,-1.931742788,2.294848001,-1.728478555,5.563571511,1.457474831,2.714768095,2.300811882,288.6615495,7.681798276,6.800964908,6.800964908,5.343336593,4.105824255,4.105824255,3.216723784,3.216723784,1.951595405,1.951595405,1.212108791,1.212108791,-1.04,787.2827475,6.656627418,2.536710801,1.703965176,67.56067951,0,0,0,0,0,0,0,0,0,0,41.4780444,25.32883194,0,0,0,6.076020107,0,0,0,19.76538045,0,40.96547579,0,0,0,0,0,0,0,0,6.9237372,23.96854623,29.8385728,0,6.076020107,0,0,0,0,0,0,0,0,23.96854623,5.57310453,0,37.26522558,0,0,0,0,0,4.299166667,0,8.641519274,4.92547997,2.133834089,0,0.272727273,11,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,2,3.17222,48.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
