Entry,Catalyst,Catalyst dim1,Catalyst dim2,Solvent,Solvent dim1,Solvent dim2,Cosolvent,Cosolvent dim1,Cosolvent dim2,Ratio (cosolvent : solvent),Additives,additive dim1,additive dim2,temp in degree celsius,cat. loading mol%,time in hrs,yield%
1,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,none,0,0,21,10,2,58
2,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,none,0,0,21,10,4,61
3,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,none,0,0,21,10,8,60
4,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,none,14.36486742,-1.75190403,0,none,0,0,21,10,2,nil
5,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,none,14.36486742,-1.75190403,0,none,0,0,21,10,4,nil
6,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,none,14.36486742,-1.75190403,0,none,0,0,21,10,8,nil
7,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,none,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,1,none,0,0,21,10,2,3
8,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,none,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,1,none,0,0,21,10,4,6
9,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,none,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,1,none,0,0,21,10,8,7
10,none,0,0,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,none,0,0,21,10,2,nil
11,none,0,0,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,none,0,0,21,10,4,nil
12,none,0,0,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,none,0,0,21,10,8,nil
13,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,F/C(F)=C(F)\F,-8.24574092,28.16949142,0.5,none,0,0,21,10,2,21
14,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,F/C(F)=C(F)\F,-8.24574092,28.16949142,0.5,none,0,0,21,10,4,23
15,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,F/C(F)=C(F)\F,-8.24574092,28.16949142,0.5,none,0,0,21,10,8,24
16,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(C(F)(F)F)(O)C(F)(F)F,31.8749196,-4.41295459,0.5,none,0,0,21,10,2,1
17,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(C(F)(F)F)(O)C(F)(F)F,31.8749196,-4.41295459,0.5,none,0,0,21,10,4,2
18,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(C(F)(F)F)(O)C(F)(F)F,31.8749196,-4.41295459,0.5,none,0,0,21,10,8,6
19,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,CC(C)(O)C,-16.2211568,-14.58961934,0.5,none,0,0,21,10,2,nil
20,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,CC(C)(O)C,-16.2211568,-14.58961934,0.5,none,0,0,21,10,4,nil
21,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,CC(C)(O)C,-16.2211568,-14.58961934,0.5,none,0,0,21,10,8,nil
22,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,CC(O)C,-21.7728893,-7.41501346,0.5,none,0,0,21,10,2,nil
23,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,CC(O)C,-21.7728893,-7.41501346,0.5,none,0,0,21,10,4,nil
