Catalyst dim1,Catalyst dim2,Solvent dim1,Solvent dim2,Cosolvent dim1,Cosolvent dim2,Ratio (cosolvent : solvent),Additives dim1,Additives dim2,temp in degree celsius,cat. loading mol%,time in min,yield
0.33361911,0.595589152,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,2,58
0.33361911,0.595589152,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,4,61
0.33361911,0.595589152,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,8,60
0.33361911,0.595589152,-3.103239204,-2.07761934,4.727547618,-0.758874265,0,0,0,21,10,2,0
0.33361911,0.595589152,-3.103239204,-2.07761934,4.727547618,-0.758874265,0,0,0,21,10,4,0
0.33361911,0.595589152,-3.103239204,-2.07761934,4.727547618,-0.758874265,0,0,0,21,10,8,0
0.33361911,0.595589152,-3.103239204,-2.07761934,4.727547618,-0.758874265,1,0,0,21,10,2,3
0.33361911,0.595589152,-3.103239204,-2.07761934,4.727547618,-0.758874265,1,0,0,21,10,4,6
0.33361911,0.595589152,-3.103239204,-2.07761934,4.727547618,-0.758874265,1,0,0,21,10,8,7
0,0,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,2,0
0,0,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,4,0
0,0,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,8,0
0.33361911,0.595589152,-3.103239204,-2.07761934,-3.065624138,9.813515427,0.5,0,0,21,10,2,21
0.33361911,0.595589152,-3.103239204,-2.07761934,-3.065624138,9.813515427,0.5,0,0,21,10,4,23
0.33361911,0.595589152,-3.103239204,-2.07761934,-3.065624138,9.813515427,0.5,0,0,21,10,8,24
0.33361911,0.595589152,-3.103239204,-2.07761934,11.63630577,-1.374771021,0.5,0,0,21,10,2,1
0.33361911,0.595589152,-3.103239204,-2.07761934,11.63630577,-1.374771021,0.5,0,0,21,10,4,2
0.33361911,0.595589152,-3.103239204,-2.07761934,11.63630577,-1.374771021,0.5,0,0,21,10,8,6
0.33361911,0.595589152,-3.103239204,-2.07761934,-5.608451214,-4.510140682,0.5,0,0,21,10,2,0
0.33361911,0.595589152,-3.103239204,-2.07761934,-5.608451214,-4.510140682,0.5,0,0,21,10,4,0
0.33361911,0.595589152,-3.103239204,-2.07761934,-5.608451214,-4.510140682,0.5,0,0,21,10,8,0
0.33361911,0.595589152,-3.103239204,-2.07761934,-7.689778035,-3.169729459,0.5,0,0,21,10,2,0
0.33361911,0.595589152,-3.103239204,-2.07761934,-7.689778035,-3.169729459,0.5,0,0,21,10,4,0
0.33361911,0.595589152,-3.103239204,-2.07761934,-7.689778035,-3.169729459,0.5,0,0,21,10,8,0
0.33361911,0.595589152,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,-4.06582739,5.534762125,21,10,2,53
0.33361911,0.595589152,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,-4.06582739,5.534762125,21,10,4,54
0.33361911,0.595589152,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,-4.06582739,5.534762125,21,10,8,49
0.33361911,0.595589152,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,-3.466986505,8.506104413,21,10,2,50
0.33361911,0.595589152,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,-3.466986505,8.506104413,21,10,4,54
0.33361911,0.595589152,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,-3.466986505,8.506104413,21,10,8,49
0.33361911,0.595589152,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,15.54688043,2.636906042,21,10,2,30
0.33361911,0.595589152,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,15.54688043,2.636906042,21,10,4,27
0.33361911,0.595589152,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,15.54688043,2.636906042,21,10,8,28
0.33361911,0.595589152,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,5.830370197,-6.666558818,21,10,2,28
0.33361911,0.595589152,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,5.830370197,-6.666558818,21,10,4,25
0.33361911,0.595589152,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,5.830370197,-6.666558818,21,10,8,23
-0.225673316,0.253009472,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,2,40
-0.225673316,0.253009472,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,4,41
-0.225673316,0.253009472,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,8,37
-0.225673316,0.253009472,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,-6.775729256,-3.729165023,21,10,2,38
-0.225673316,0.253009472,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,-6.775729256,-3.729165023,21,10,4,38
-0.225673316,0.253009472,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,-6.775729256,-3.729165023,21,10,8,37
5.10277403,7.777296011,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,2,27
5.10277403,7.777296011,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,4,25
5.10277403,7.777296011,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,8,22
5.10277403,7.777296011,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,-6.775729256,-3.729165023,21,10,2,25
5.10277403,7.777296011,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,-6.775729256,-3.729165023,21,10,4,24
5.10277403,7.777296011,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,-6.775729256,-3.729165023,21,10,8,23
19.40074677,-5.36511926,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,2,5
19.40074677,-5.36511926,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,4,0
