,B1,B5,bond_length,L
0,2.412598778,3.262795554,1.501099622,8.506360101
1,2.330142843,6.446574835,1.44463015,5.084842422
2,2.133257732,3.118498221,1.77777931,4.184069212
3,1.1,1.1,1.3767,2.8767
4,2.129418237,2.849358647,1.452552787,3.83051202
5,2.804870261,6.679926368,1.543949841,5.806907891
6,1.700273531,3.844245157,1.367273512,7.362369958
7,2.378429638,4.159371317,1.449892021,5.350400826
8,1.1,1.1,1.532216,3.032216
9,2.218489166,3.143956343,1.683705126,5.100552521
10,1.87545494,3.863376952,1.22513215,5.112954853
11,2.241554619,3.233962057,1.484133468,4.65505316
12,2.177181865,3.089185767,1.445801373,4.004810208
13,1.1,1.1,1.732844,3.232844
14,2.489552557,7.430094589,1.499064874,8.712465927
15,2.395944172,6.041501175,1.455303438,6.450645253
16,1.995351888,12.57199871,1.461376086,14.32420984
17,1.99732383,8.691149304,1.519785644,10.89619246
18,2.510060061,9.196436729,1.497333711,10.92054563
