Catalyst dim1,Catalyst dim2,Solvent dim1,Solvent dim2,Cosolvent dim1,Cosolvent dim2,cosolvent vs solvent ratio,additive dim1,additive dim2,temp in degree celsius,cat. loading mol%,time in hours,yield
1.186137917,0.634095202,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,2,58
1.186137917,0.634095202,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,4,61
1.186137917,0.634095202,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,8,60
1.186137917,0.634095202,-11.21819749,-9.225527544,14.36486742,-1.75190403,0,0,0,21,10,2,0
1.186137917,0.634095202,-11.21819749,-9.225527544,14.36486742,-1.75190403,0,0,0,21,10,4,0
1.186137917,0.634095202,-11.21819749,-9.225527544,14.36486742,-1.75190403,0,0,0,21,10,8,0
1.186137917,0.634095202,-11.21819749,-9.225527544,14.36486742,-1.75190403,1,0,0,21,10,2,3
1.186137917,0.634095202,-11.21819749,-9.225527544,14.36486742,-1.75190403,1,0,0,21,10,4,6
1.186137917,0.634095202,-11.21819749,-9.225527544,14.36486742,-1.75190403,1,0,0,21,10,8,7
0,0,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,2,0
0,0,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,4,0
0,0,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,8,0
1.186137917,0.634095202,-11.21819749,-9.225527544,-8.24574092,28.16949142,0.5,0,0,21,10,2,21
1.186137917,0.634095202,-11.21819749,-9.225527544,-8.24574092,28.16949142,0.5,0,0,21,10,4,23
1.186137917,0.634095202,-11.21819749,-9.225527544,-8.24574092,28.16949142,0.5,0,0,21,10,8,24
1.186137917,0.634095202,-11.21819749,-9.225527544,31.8749196,-4.41295459,0.5,0,0,21,10,2,1
1.186137917,0.634095202,-11.21819749,-9.225527544,31.8749196,-4.41295459,0.5,0,0,21,10,4,2
1.186137917,0.634095202,-11.21819749,-9.225527544,31.8749196,-4.41295459,0.5,0,0,21,10,8,6
1.186137917,0.634095202,-11.21819749,-9.225527544,-16.2211568,-14.58961934,0.5,0,0,21,10,2,0
1.186137917,0.634095202,-11.21819749,-9.225527544,-16.2211568,-14.58961934,0.5,0,0,21,10,4,0
1.186137917,0.634095202,-11.21819749,-9.225527544,-16.2211568,-14.58961934,0.5,0,0,21,10,8,0
1.186137917,0.634095202,-11.21819749,-9.225527544,-21.7728893,-7.41501346,0.5,0,0,21,10,2,0
1.186137917,0.634095202,-11.21819749,-9.225527544,-21.7728893,-7.41501346,0.5,0,0,21,10,4,0
1.186137917,0.634095202,-11.21819749,-9.225527544,-21.7728893,-7.41501346,0.5,0,0,21,10,8,0
1.186137917,0.634095202,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-11.15813217,15.32600645,21,10,2,53
1.186137917,0.634095202,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-11.15813217,15.32600645,21,10,4,54
1.186137917,0.634095202,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-11.15813217,15.32600645,21,10,8,49
1.186137917,0.634095202,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-11.06135627,15.48388445,21,10,2,50
1.186137917,0.634095202,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-11.06135627,15.48388445,21,10,4,54
1.186137917,0.634095202,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-11.06135627,15.48388445,21,10,8,49
1.186137917,0.634095202,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,35.68073466,5.57456039,21,10,2,30
1.186137917,0.634095202,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,35.68073466,5.57456039,21,10,4,27
1.186137917,0.634095202,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,35.68073466,5.57456039,21,10,8,28
1.186137917,0.634095202,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,15.82593181,-7.955631793,21,10,2,28
1.186137917,0.634095202,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,15.82593181,-7.955631793,21,10,4,25
1.186137917,0.634095202,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,15.82593181,-7.955631793,21,10,8,23
-0.437576237,0.804065416,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,2,40
-0.437576237,0.804065416,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,4,41
-0.437576237,0.804065416,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,8,37
-0.437576237,0.804065416,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,2,38
-0.437576237,0.804065416,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,4,38
-0.437576237,0.804065416,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,8,37
13.1664723,-5.714927909,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,2,27
13.1664723,-5.714927909,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,4,25
13.1664723,-5.714927909,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,8,22
13.1664723,-5.714927909,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,2,25
13.1664723,-5.714927909,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,4,24
13.1664723,-5.714927909,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,8,23
38.46074554,5.338774789,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,2,5
38.46074554,5.338774789,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,4,0
38.46074554,5.338774789,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,8,5
-8.128791892,-0.921047757,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,2,30
-8.128791892,-0.921047757,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,4,25
-8.128791892,-0.921047757,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,8,22
2.556997418,-13.17410432,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,2,22
2.556997418,-13.17410432,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,4,21
2.556997418,-13.17410432,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,8,25
-8.454763881,-3.803197595,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,2,12
-8.454763881,-3.803197595,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,4,16
-8.454763881,-3.803197595,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,8,7
20.65699927,-6.799646223,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,2,3
20.65699927,-6.799646223,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,4,5
20.65699927,-6.799646223,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,8,0
-1.42079222,-2.309150602,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,2,0
-1.42079222,-2.309150602,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,4,0
-1.42079222,-2.309150602,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,8,0
9.947930301,2.833061742,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,2,19
9.947930301,2.833061742,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,4,20
9.947930301,2.833061742,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,8,16
28.40007525,10.99279854,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,2,16
28.40007525,10.99279854,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,4,16
28.40007525,10.99279854,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,8,13
-9.726330375,-2.282980298,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,2,1
-9.726330375,-2.282980298,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,4,8
-9.726330375,-2.282980298,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,0,0,21,10,8,12
-9.726330375,-2.282980298,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,2,1
-9.726330375,-2.282980298,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,4,3
-9.726330375,-2.282980298,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,8,0
-10.56661578,-1.999754703,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,2,1
-10.56661578,-1.999754703,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,4,2
-10.56661578,-1.999754703,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,8,0
-15.47607492,9.532018559,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-4.985562736,-9.876766499,21,10,2,3
-15.47607492,9.532018559,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-4.985562736,-9.876766499,21,10,4,0
-15.47607492,9.532018559,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-4.985562736,-9.876766499,21,10,8,0
-15.47607492,9.532018559,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,2,11
-15.47607492,9.532018559,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,4,0
-15.47607492,9.532018559,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,8,0
-15.32738299,12.92242302,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,2,1
-15.32738299,12.92242302,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,4,2
-15.32738299,12.92242302,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,8,1
-15.32738299,12.92242302,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-10.38411087,-10.79876159,21,10,2,0
-15.32738299,12.92242302,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-10.38411087,-10.79876159,21,10,4,1
-15.32738299,12.92242302,-11.21819749,-9.225527544,14.36486742,-1.75190403,0.5,-10.38411087,-10.79876159,21,10,8,1
