Entry,Catalyst,Catalyst dim1,Catalyst dim2,Solvent,Solvent dim1,Solvent dim2,Cosolvent,Ratio (cosolvent : solvent),Additives,temp in degree celsius,additive loading mol%,cat. loading mol%,time in min,yield
1,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,2,58
2,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,4,61
3,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,8,60
4,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,none,0,none,21,nil,10,2,nil
5,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,none,0,none,21,nil,10,4,nil
6,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,none,0,none,21,nil,10,8,nil
7,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,none,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,1,none,21,nil,10,2,3
8,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,none,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,1,none,21,nil,10,4,6
9,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,none,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,1,none,21,nil,10,8,7
10,none,0,0,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,2,nil
11,none,0,0,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,4,nil
12,none,0,0,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,8,nil
13,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,F/C(F)=C(F)\F,0.5,none,21,nil,10,2,21
14,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,F/C(F)=C(F)\F,0.5,none,21,nil,10,4,23
15,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,F/C(F)=C(F)\F,0.5,none,21,nil,10,8,24
16,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(C(F)(F)F)(O)C(F)(F)F,0.5,none,21,nil,10,2,1
17,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(C(F)(F)F)(O)C(F)(F)F,0.5,none,21,nil,10,4,2
18,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(C(F)(F)F)(O)C(F)(F)F,0.5,none,21,nil,10,8,6
19,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,CC(C)(O)C,0.5,none,21,nil,10,2,nil
20,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,CC(C)(O)C,0.5,none,21,nil,10,4,nil
21,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,CC(C)(O)C,0.5,none,21,nil,10,8,nil
22,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,CC(O)C,0.5,none,21,nil,10,2,nil
23,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,CC(O)C,0.5,none,21,nil,10,4,nil
24,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,CC(O)C,0.5,none,21,nil,10,8,nil
25,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,O=S([O-])([O-])=O.[Na+].[Na+],21,100,10,2,53
26,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,O=S([O-])([O-])=O.[Na+].[Na+],21,100,10,4,54
27,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,O=S([O-])([O-])=O.[Na+].[Na+],21,100,10,8,49
28,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,[O-][Si](=O)[O-].[O-][Si](=O)[O-].[Na+].[Al+3],21,100,10,2,50
29,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,[O-][Si](=O)[O-].[O-][Si](=O)[O-].[Na+].[Al+3],21,100,10,4,54
