Catalyst dim1,Catalyst dim2,Solvent dim1,Solvent dim2,Cosolvent dim1,Cosolvent dim2,Additives dim1,Additives dim2,cosolvent vs solvent ratio,temp in degree celsius,cat. loading mol%,time in min,yield
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,2,58
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,4,61
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,8,60
1.2167367,0.535948542,-11.2312595,-9.071499758,0,0,0,0,0,21,10,2,0
1.2167367,0.535948542,-11.2312595,-9.071499758,0,0,0,0,0,21,10,4,0
1.2167367,0.535948542,-11.2312595,-9.071499758,0,0,0,0,0,21,10,8,0
1.2167367,0.535948542,0,0,14.31421122,-1.634428954,0,0,1,21,10,2,3
1.2167367,0.535948542,0,0,14.31421122,-1.634428954,0,0,1,21,10,4,6
1.2167367,0.535948542,0,0,14.31421122,-1.634428954,0,0,1,21,10,8,7
0,0,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,2,0
0,0,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,4,0
0,0,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,8,0
1.2167367,0.535948542,-11.2312595,-9.071499758,-8.364867337,28.17894833,0,0,0.5,21,10,2,21
1.2167367,0.535948542,-11.2312595,-9.071499758,-8.364867337,28.17894833,0,0,0.5,21,10,4,23
1.2167367,0.535948542,-11.2312595,-9.071499758,-8.364867337,28.17894833,0,0,0.5,21,10,8,24
1.2167367,0.535948542,-11.2312595,-9.071499758,31.96498784,-4.391953484,0,0,0.5,21,10,2,1
1.2167367,0.535948542,-11.2312595,-9.071499758,31.96498784,-4.391953484,0,0,0.5,21,10,4,2
1.2167367,0.535948542,-11.2312595,-9.071499758,31.96498784,-4.391953484,0,0,0.5,21,10,8,6
1.2167367,0.535948542,-11.2312595,-9.071499758,-16.12391177,-14.68563103,0,0,0.5,21,10,2,0
1.2167367,0.535948542,-11.2312595,-9.071499758,-16.12391177,-14.68563103,0,0,0.5,21,10,4,0
1.2167367,0.535948542,-11.2312595,-9.071499758,-16.12391177,-14.68563103,0,0,0.5,21,10,8,0
1.2167367,0.535948542,-11.2312595,-9.071499758,-21.79041995,-7.466934865,0,0,0.5,21,10,2,0
1.2167367,0.535948542,-11.2312595,-9.071499758,-21.79041995,-7.466934865,0,0,0.5,21,10,4,0
1.2167367,0.535948542,-11.2312595,-9.071499758,-21.79041995,-7.466934865,0,0,0.5,21,10,8,0
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,-11.1311805,15.38717064,0.5,21,10,2,53
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,-11.1311805,15.38717064,0.5,21,10,4,54
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,-11.1311805,15.38717064,0.5,21,10,8,49
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,-11.03618398,15.59494344,0.5,21,10,2,50
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,-11.03618398,15.59494344,0.5,21,10,4,54
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,-11.03618398,15.59494344,0.5,21,10,8,49
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,35.81939383,5.364161064,0.5,21,10,2,30
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,35.81939383,5.364161064,0.5,21,10,4,27
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,35.81939383,5.364161064,0.5,21,10,8,28
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,15.89802239,-7.735040929,0.5,21,10,2,28
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,15.89802239,-7.735040929,0.5,21,10,4,25
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,15.89802239,-7.735040929,0.5,21,10,8,23
-0.404513509,0.701076688,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,2,40
-0.404513509,0.701076688,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,4,41
-0.404513509,0.701076688,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,8,37
-0.404513509,0.701076688,-11.2312595,-9.071499758,14.31421122,-1.634428954,-14.04107488,-7.913130794,0.5,21,10,2,38
-0.404513509,0.701076688,-11.2312595,-9.071499758,14.31421122,-1.634428954,-14.04107488,-7.913130794,0.5,21,10,4,38
-0.404513509,0.701076688,-11.2312595,-9.071499758,14.31421122,-1.634428954,-14.04107488,-7.913130794,0.5,21,10,8,37
13.17525075,-5.848473261,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,2,27
13.17525075,-5.848473261,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,4,25
13.17525075,-5.848473261,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,8,22
13.17525075,-5.848473261,-11.2312595,-9.071499758,14.31421122,-1.634428954,-14.04107488,-7.913130794,0.5,21,10,2,25
13.17525075,-5.848473261,-11.2312595,-9.071499758,14.31421122,-1.634428954,-14.04107488,-7.913130794,0.5,21,10,4,24
13.17525075,-5.848473261,-11.2312595,-9.071499758,14.31421122,-1.634428954,-14.04107488,-7.913130794,0.5,21,10,8,23
38.6158785,5.609527124,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,2,5
38.6158785,5.609527124,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,4,0
38.6158785,5.609527124,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,8,5
-8.177463674,-0.924748512,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,2,30
-8.177463674,-0.924748512,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,4,25
-8.177463674,-0.924748512,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,8,22
2.618682392,-13.17234088,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,2,22
2.618682392,-13.17234088,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,4,21
2.618682392,-13.17234088,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,8,25
-8.453216225,-3.869092911,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,2,12
-8.453216225,-3.869092911,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,4,16
-8.453216225,-3.869092911,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,8,7
20.73718117,-6.400141078,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,2,3
20.73718117,-6.400141078,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,4,5
20.73718117,-6.400141078,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,8,0
-1.423457785,-2.322835123,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,2,0
-1.423457785,-2.322835123,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,10,4,0
